TITLE,ARTIST,LABEL,NO.,YR,ALBUM/CD TITLE,
Nobody Cared,"Purtell, Jim [v. Jon Statham]",Stoney Beach Music,CD,12,Vietnam: There & Back,
"Noche De Paz, Noche En Vietnam",Camaleones,DRO,17,82, ,
Noi Lo Chiamiamo Vietnam [We Call It Vietnam],Chorus,I Dischi del Sole,204,,,
"Non Nuoc, The",Reel Banditos,The Reel Banditos,CD,8,Indochina,
Nooit Geen Oorlog Meer!,Zangeres Zonder Naam,Telstar,1245,66,,
Normandy's Sand,"Jonas, Dick",Erosonic ,Album 2,97,FSH Vol. II,
North Of Saigon,"Brown, Virge",Big Country,214-2,69,,
Not Alone Am I,Merrymen,Jewel,1,67,,
Not Another Viet Nam,Perry Brothers,Single-O,1001,6?,,
Not Even Uncle Sam Can Take The Part,"Stuart, Shelley",Sterling,402,6?,,
Not The Way To End A War,Hudson-Ford,A&M,1471,73,,
Not With My Life You Don't,"Scanlan, Dan (Cool Hand Uke)",Dan Scanlan,CD,70,Vietnam War Era Songs,
Now Or Never,"Ono, Yoko",Apple,LP 3399,71,Approximately Infinite Universe ,
Now That I've Seen Her,Cast,Geffen,9  24271-2,88,Miss Saigon,
Nuoc Mam Blues,"Droge, Dolf",Border City,SE-7,4,SOBA-2002,
"Nurse In The U.S. Army Corps, A","Francis, Connie",MGM,13550,66, ,
"Nurses Song, The [We Remember & We Love You]","Marx, Jackie",Jackie Marx,Cassette,86,Private Tape,
O My Homeland,"Binh, Quang",Dihavina,,66,,
O Where Is The Boy (Who Went Over The Sea),Shane Sisters,Ford,145,,,
O.D.H.G.A.B.F.E.,Lamb Of God,Metal Blade,CD,0,New American Gospel,
O-1E,"LeVine, Irv ",Erosonic ,Disc 7,2,Cold Warriors,
Oakland Airport,"Garvey, Mary",Private Tape,Cassette,,Mary Garvey,
O'America,"Purtell, Jim & Planet, Janet",Jim Purtell,CD,88,The Waiting Goes On,
Oath Of Enlistment,"Short, 1st Sgt. Johnny",Clever,No #,72,,
Oct-69,"Chance, Lonnie",Beatjuice Records,CD,0,The Jungleman,
Ode To Damnit,"Maxner, Stephen",Stephen Maxner,Cassette,87,One Step Behind: Vietnam Reflections,
Ode To Roy Kenny,STEV,Stev  Manteiv,LP SM 001,86,Ambush,
Ode To The Vietnam Veteran,"Glenn, Dave",Dave Glenn,Cassette,, ,
Ode To Vietnam,"Sims, Jimy",Mark,Jan-03,71,,
Off To Help My Buddies There,"Cohen, Harry",,1161,6?,Off to Vietnam ,
Off To Viet-Nam,"Moore, Wayne",Wa-Mo,100,6?,,
Off To Viet Nam (In The Green),"Bonn, Skeeter",Sims,325,68, ,
Off We Go Into The Wild Blue Yonder,USAF Band,Border City,SE-5,2,"Commando Sing, Korat RTAFB 1974",
O'God I Can Make It,"Sadler, Barry",Veteran,3131,7?,,
Oh America,"Near, Holly",Redwood,LP 3800,73,Hang In There,
Oh! Camil (The Winter Soldier),"Nash, Graham",Atlantic,LP 7288,74,Wild Tales ,
"Oh, Dear, What Can The Matter Be?","Droge, Dolf",AFS,"18,978",,Songs by Americans in the Vietnam War,
Oh God Please Bring My Daddy Back,"Cook, John & Margie",Blake,201,64, ,
Oh Grandfathers,"McLean, Tom",,,,,
Oh Happy Day,Chiquita,Cha Cha,772,68,,
"Oh, Happy Day","Hawkins Singers, Edwin",,,,,
Oh How We Love To Hate,"Maxner, Stephen",Stephen Maxner,Cassette,87,One Step Behind: Vietnam Reflections,
Oh Mommy,Brewer & Shipley,Kama Sutra ,LP 2024,71,Tarkio ,
Oh Mr. War Memorial,"Black, John",57th Street Prod.,CD,3,Meet Me In Vietnam ,
Oh My Vietnam,Tinh,East Wind,CD,86,My Vietnamese Suite,
Oh Say Can You See,"Walktendonk, Jim",Booney Tunes,Cassette,85,Incoming,
Oh Shit!,"Lintecum, Sarge",Sarge Lintecum,CD,91,Combat Tested Blues For Peace,
Oh That Wall,"Yoder, Jason P.",Jason P. Yoder,mp3,12,,
Oh Victory,Lonesome Valley Singers,Diplomat,LP 2489,69,God Bless The Working Man,
Oh Vietnam,"Gee, Bobby & Redd",Finch,90460,69,,
Oh Why Did It Have To Be Johnny,[Not credited],Morriscolour,8407,71,,
"Oh, You Saigon Girls","Brand, Oscar & Bare  FACs",TRD,CD,1,The Wild Blue Over Vietnam,
Ohio,"Crosby, Stills, Nash &Young",Atlantic,2740,70,So Far ,
Ohio,"Small, Britt & Festival",Max Stout,Cassette,85,Tattered Flags - Broken Promises,
Ohio,Toxic Reasons,Fun House Records,LP 12-005,88,Dedication 1979-1988 ,
Ohio,"Young, Neil",Warner,LP 6480,72,Journey Through The Past ,
Ohio (Kent State Mix),"Crosby, Stills, Nash & Young",Atlantic,CD,7?, ,
Ohio/Machine Gun,Isley Brothers,T-Neck,LP 3008,71,Givin' It Back ,
Okie From Muskogee,"Anthony,  Ray",Ranwood,903,71,,
Okie From Muskogee,"Case, Allan & Friends",Reel,8192,82,,
Okie From Muskogee,"Case, Jimmy",,CD,,Tribute To The Vietnam Veteran,
Okie From Muskogee,"Cash, Tommy",Epic,LP 26535,70,Six White Horses,
Okie From Muskogee,"Collins, Tommy",Starday,LP 474,71,Callin',
Okie From Muskogee,"Goodwin, Gerald & Good Guys",Good Time,14921,7?,,
Okie From Muskogee,"Haggard, Merle",Capitol,2626,69, ,
Okie From Muskogee,Little Stevie (Kelton),Naptown,1006,7?,,
Okie From Muskogee,Nashville Country Singers,Mountain Dew,LP 7045,70,Okie From Muskogee,
Okie From Muskogee,"Reed, Williard & Country Lads",Peggy,951,7?,,
Okie From Muskogee,"Riley, Jeannie C.",Plantation,LP 11,70,Generation Gap,
Okie From Muskogee,"Rogers, Roy",EMI,CD,??,,
Okie From Muskogee,"Smith, Kevin & Country Rangers",Torino ,1055,70,,
Okie From Muskogee [Smorumnedre],"Tidmand, Bjorn",Odeon,1720,71,,
Okinawa Sweet Potato Girl,"Cook, Jim",T. McKinnon,CD,2,The Victors,
Okinawa Women,"Cook, Jim",T. McKinnon,CD,2,The Victors,
Ol' Lead Bottom,"Raney, Ed",Storm,LSP 2702,7?,Songs Of The Sky Soldier,
Old Bob Burton,"Curless, Dick",Capitol,3630,73,The Last Blues Song ,
Old Comrades,"Austin, Wendell",,Cassette,97, ,
Old Da Nang,"Hatch, Jim",CWF,CD,96,Vietnam Aviator's Odyssey,
Old Enough,"Masten, Ric",WRS,LP 1502,67,12 String Sermons,
Old Glory,Black Bart & Cty. Knights,LA NEV,52176,76,,
Old Glory,"Gary, Jerry",Sound City,2244,,,
Old Glory Speaks,"Hill, Lance",Sherwood,1306,,,
Old Hanoi,"Griffith, Nanci",Universal,CD,5,Hearts In Mind,
Old Henry's Hoss,"Jonas, Dick",Erosonic ,Album 3,97,Two Sides of Dick Jonas,
Old Hippie,Bellamy Brothers,Curb/MCA,52579,85, ,
Old Hippie,"Small, Britt & Festival",Max Stout,Fes #7,87,America Called,
Old Porch Swing,"Arnold, Eddy",RCA,CD,5,After All These Years ,
Old Sai Gon,Deepnine,Collabitat Records,CD 01,3,Flowers On The Dirt Road Home,
Old Saigon  ,"Dauphin, Hank & Southern Playboys",HD,22,,,
Old Saigon Days,"Amos, Jr., H.",Private Tape,Cassette,92, ,
"Old Soldier, The","Drake, Earl",Caledon,215,,,
"Old Soldier, The","Smith, Marty",Amigo,105,67,,
Old Soldiers Die Hard,"Rowe, Normie",Normie Rowe,CD,7,Missing In Action  ,
Old Weird Harold,"Jonas, Dick",Erosonic ,Album 2,97,FSH Vol. II,
"Oldest Second Lieutenant In The Air Force, The","Durham, Bull",Border City,SE-6,2,SOBA-2001,
Om Kriget I Vietnam,"Warnerbring, Osten",Philips ,6316 023,75,,
On Campus,"Goodman, Dickie",Cotique,158,69,,
On Holy Ground,V.N.V.,SOS Records,1454,85,,
On Music In Vietnam,"Stone, Oliver",Hip-O-Records,CD,98,The Oliver Stone Connection S/T,
On My Way Home,"King, Joe (Wild Thing)",Capitol,5806,67,,
On My Way To See You Again,"Leddy, Marcus",BR Records,Cassette,88,Carry Me Home,
On Parting,"Leahy, Pat",Jamie,1347,,,
On Post/PAPA 9,"Jorgensen, Sgt. John Peter",Sgt. J.P. Jorgensen,CD,5,Vietnam: A Sublime Homecoming ,
On The Battlefield,"Rich, Dave",Stop,132,68,,
On The Other Side,Mizax and the Flizaps,ABC Records,11222,69,,
On The Wall,"Grushecky, Joe & Houserockers",Schoolhouse,CD,2,Fingerprints ,
On Trial For My Life,Original Cast,,,74,The Lieutenant S/T,
Once,Shining Path,Which? Records,CD 0968,98,Shining Path,
Once Upon A Time,"Pollock, Samuel",S. Pollock,Cassette,98,The Walking Wounded,
One Boy Has Died In The War!,"Lurie, Toby",CMS,615,68, ,
One Day Nearer Home,"Sadler, SSgt Barry",RCA,8966,66,,
One Day Of Peace,Love Committee,Golden Fleece,3256,74, ,
One Heartbeat At A Time,"Barkemeyer, Larry",Bark Moss Ent.,Cassette,97,20 Years Of Tears,
One Last Day In Viet Nam,"Bass, Jerry",Temple,No #,69,,
One Last Memory,"Hayes, Jerry",Toro,LP 501,,Back From Nam,
One Last Time,"Garvey, Mary",Private Tape,Cassette,,Mary Garvey,
One Little Kiss,"Fabulous Performers, The",Blackjack,1407,69, ,
One Man Band,"Jay, Abner",Subliminal Sounds,CD-7,3,One Man Band,
One More Day,"Martin, Michael & Holiday, Tim",Michael Martin,Cassette,,Time To Lay it Down,
One More Parade,"Ochs, Phil",Elektra,LP 269,64,All The News That's Fit To Sing ,
One Morning In Saigon,"Brand, Oscar & Bare  FACs",TRD,CD,1,The Wild Blue Over Vietnam,
One Rose,"Chance, Lonnie",Beatjuice Records,CD,0,The Jungleman,
One Son-Of-A-Gun Of A Gun,"Sadler, SSGT Barry",RCA ,LP 3605,66,Twelve Men - The A Team,
One Step Behind,"Maxner, Stephen",Stephen Maxner,Cassette,87,One Step Behind: Vietnam Reflections,
One Tall Marine,"Feltner, Charles",Ever Fresh,1002,87,,
One Time Ted (Good Morning Vietnam),Marathon,Mercury,872 547-1,89,,
One Tin Soldier,"Chandller, Guy",Pied Piper,2003,71,,
One Tin Soldier,"Collins, Gwen & Jerry",Capitol,2835,70,,
One Tin Soldier,Coven,Warner,7509,71, ,
One Tin Soldier,"Davis, Skeeter",RCA ,74-0608,71,Best of… ,
One Tin Soldier,"Kurtz, John",ABC Records,11375,73,,
One Tin Soldier,Original Cast,TA,186,69,,
OneTin Soldier,"Young, Karen",Major Minor,691,70, ,
One Two - Button Shoe,"Travis, Bernie & Pentagon Players",Audio Fidelity,LP 1712,71,The Pentagon Papers,
"One-Level Gunner, The","Hughes, Toby",Erosonic ,Album 14,5,Fast and Low,
Only A Boy,Jan & Dean,WB,7151,67, ,
Only A Soldier,Barefoot,Columbia,3106,,,
Only A War,"Reynolds, Malvina",,,65,,
Only Eighteen,"Gousters, The",, CD,3,The Gousters,
Oorlogslied,"van de Velde, Wannes",Philips ,LP 12839,67,"Wannes van de Velde, Album Nr. 2",
"Open Letter To Dad, An","Howard, Chris",Carole,1005,67,,
"Open Letter To My Dad, An",Marceline,Ion,102,67,,
"Open Letter To My Father, An","Random, Bob",Dragonet,9,67,,
"Open Letter To My Teenage Son, An",Griffen's Paraders,Diplomat,LP 2438,69,An Open Letter To My Teenage Son ,
"Open Letter To My Teenage Son, An","Lundberg, Victor",Liberty,55996,67, ,
"Open Letter To My Teenage Son, An","Sims, Bobby",Hit,312,67,,
"Open Letter To The Older Generation, An","Clark, Dick",Dunhill,4112,67, ,
Open Letter To The President,"Roy ""C""",Alaga,1006,71,Soul Of Vietnam,
Open Up That Watergate,"Scanlan, Dan (Cool Hand Uke)",Dan Scanlan,CD,72,Vietnam War Era Songs,
Opener,Kimo,JEIO,LP 1745,86,A Chance To Live,
Oracion En Vietnam,"Tramrays, The",Hacienda,7002,70,,
Oracion Por El Vietnam,Los Amis,Pax,5,69,,
Orange Crush,R.E.M.,Warner,LP 25795,88,Green ,
Orange Fire,Mad River,,,, ,
Orange Ribbons (Flying High),"Vettz, The",Fraternity,3572,90, ,
Orders,Sgt. Larry and the Souljers,Sgt. Larry…,CD,10,Bill The Undeclared War Opera,
Oriental Moon Of Vietnam,"Dunn, Kathy",Portrait,706-00,6?,,
Oriental Sweetheart,"Russell, Jerry",Destiny,196601,66, ,
Orphan Soldier,"Marshall, Gene",Preview,2331,72,,
Oscar Deuce,"McKay, Dave",Border City,SE-3,1,FAC Songs from SEA,
Other Classifications,Cast: Attorney and Clients,Law U Records,LP 7-109,68,"Law, You and The Draft",
"Other Side Of The Water, The","Leddy, Marcus",BR Records,Cassette,88,Carry Me Home,
"Other Side Of The World, The","Alexander, Bob & The Profiles",Dobee,4610,67,,
Ou Vont Les Fleurs (Where Have All The Flowers Gone),"Francois, Jacqueline",Phillips,432.816,62,,
Our America,"Hess, Bennie & Troy",Show,33197,,,
Our Boys Are Over There,"Hill, George",AFS,No #,72,,
Our Boys In Viet Nam,"Copley, Mrs. Milender",Mrs. M. Copley,No #,,,
Our Boys In Vietnam,Don & Earl,Gospel Time,182,6?,,
Our Boys In Vietnam,"Jarvis, J.D.",Jewel,779,66,,
Our Boys In Vietnam,"Storm, Bob",Halmark,20909,6?,,
Our Boys In Vietnam Are Coming Home,"Snyder, Jimmy",Charity,4392,7?,,
Our Boys Will Shine,"Dewey, Roger",Design,LP 250,66,Ballad Of The Green Berets,
Our Daddy's In Vietnam,Powell Sisters,Basic,181,63,Next Stop is Vietnam,
Our Day Is Here,"Robinson, J.P.",Blue Candle,,, ,
Our Fighting Men,Company Four,Eyshelle,102,?,,
Our Flag,"Clark, Tom",Pageboy,LP 130,85,Tribute To Nam,
Our Freedom And Its Price,"Allison, Dave",Terry,112,,,
Our Generation,"Hines, Ernie",We Produce,,, ,
Our Generation,"Seeger, Pete",Columbia,LP 30739,71,Rainbow Race,
Our Little Brother John,"Phillipson, Larry",Phillipson,1005,,,
Our Men In Nam,"Curran, Ed",Loon Hill,[None],88,,
Our Men In Viet Nam,Downtowners,Preview,1249,67,,
Our Prayers For Our Boys In Vietnam,"Kittredge, Jan",Zippy,102,,,
"Our Red, White, And Blue","Fortini, Jim",Fortini,611,80,,
Our Reunion Day,Blind Albert,Blind Albert,CD,8,,
Our Senators,"Keith, Rodd & The Raindrops",Preview,1338,67,,
Our Soldier ,"Harp, Tommy",Harptone,101,6?,,
Our Soldiers Will Be Counting Down,"Blue Water, Trisha",Independent,CD,11,And Vietnam Was Over,
Our Vietnam,"Miller, Dave",,CD,8,My Tattoos,
Ours Is Not,"Kline, Phil",Cantaloupe Music,CD 21019,4,Zippo Songs,
Out Along This Way,"Black, John",57th Street Prod.,CD,99,I Don't Know Where…: Vietnam Farewell II,
Out Here In Vietnam,"Blaskey, Lindy",Lavette,5005,, ,
"Out Of Sights, Out Of Heart, Out Of Mind","Wells, Rick & His Vietnam Buddies",ODLE,103,68,,
"Out Of Sight, Out Of Mind","Parent, Fred",Plain Folk,Cassette,87,"Vet Songs, 1967-1987 ",
"Outcome Of Vietnam, The","Putnam, Harold & Country Playboys",Strato-Sound,104,6?, ,
Outside A Small Circle Of Friends,"Ochs, Phil",A&M ,891,68,Pleasures Of The Harbor ,
Outside A Small Circle Of Friends,"Van Ronk, Dave",Sliced Bread,CD 71178,98,What's That I Hear? The Songs of Phil Ochs ,
Over And Out,AlkalineTrio,Sony,CD,8,Agony & Irony ,
Over And Over,MC 5,Atlantic,LP 8258,71,High Time ,
"Over Here, Over There",Frank & Vivian,Sen-town,1006,6?, ,
Over In Vietnam,"Dewey, Roger",Design,LP 250,66,Ballad Of The Green Berets,
Over The Edge,Red Rippers,Bien Hoa Prod.,CD,83,Over There…and Over Here,
Overture,Original Cast,Geffen,9  24271-2,89,Miss Saigon,
P.O.W.,"Bee, Charlie & Cockleburs",Glolite,102,,POWs,
P.O.W.,"Bitter & The Sweet, The",Anything Everything,764,73, ,
P.O.W. Part I,"Blue Grass, The",B.N.M.,2,,,
P.O.W. Part II,"Blue Grass, The",B.N.M.,2,,,
P.O.W.,Good Thunder,Elektra,RKS 75041,72, ,
P.O.W.,"Harp, Tommy",Harptone,101,6?,,
P.O.W.,Lonesome Valley Singers,Diplomat,LP 2489,69,God Bless The Working Man,
P.O.W.,STEV,Stev  Manteiv,LP SM 001,86,Ambush,
"P.O.W., A",War Pigs,Super Seven,7,89,Hit Bonanza,
P.O.W. [When Daddy Comes Marching Home],"Wyld, Bobby",Oweman,2017,73, ,
P.O.W.-M.I.A.,Moving Finger,Goner,102,,,
P.O.W. & M.I.A.,"Meteliko, Geoffrey",AKI Records,LP 1015,?,Going Home,
P.O.W. In Vietnam,"McEvers, Loston",Swamp Country,,88, ,
P.O.W. Letter,"Jeffers, Russ ",Lee Ann,1001,73, ,
"P.O.W., The","Rivers, Joey",Rotten Rat ,1006,7?,,
P.O.W.'s Letter (From N. Vietnam),"Now Sound, The",Mickey,20,,,
Paint Beards On Them,"Travis, Bernie & Pentagon Players",Audio Fidelity,LP 1712,71,The Pentagon Papers,
Paint Rock Valley,"Counts, Neeld & The Tumbleweeds",Estill Records,1008,6?, ,
Paint Song,"Proud, Dan",Dan Proud,CD,10,Songs From Nellingen,
Paix Au Vietnam,Claire,,LP,74,La Reussite,
Pam! Pam! Pam! Giu Le Mani Dal Vietnam,Baffo & Berto,,,,,
Panic In Hanoi,Lee Harvey Oswald Band,Touch and Go,CD 154,96,Blastronaut ,
"Panther Pack Is Prowling, The","Dockery, Chip",Flying Fish,70552,91,In Country,
Paper Soldier,"Robinson, Lt. Grover",Unreleased,,67,Ike Pappas,
Papito En Viet Nam,La Lloroncita,Pop Art,LP 154,67,Jibarita,
"Paratroopers, The/Frustration","Rozsa, Miklos",WB,LP,68,The Green Berets S/T,
"Pardon Me, Mr. President","Barry, Don",Black Cat,656,77, ,
Pardon Our Analysis (We Beg Your Pardon),"Scott-Heron, Gil & Brian Jackson",Arista,LP 4030,75,Midnight Band ,
Pardon This Soldier And Set Him Free,"Jordan, Merritt",Plaza,108,71, ,
Parris Island,"Mead, Abigail",WB,CD,90,Full Metal Jacket ST ,
Part Of Me Is Still In Vietnam,"Ranno, Doug",Ranno Records,8601,86,,
"Partisan And 6 Girls, The",?,Dihavina,6105,7?,,
Partisanen (Patriots),"Schulze, Horst",Amiga,LP 850 098,67,Kämpfendes Vietnam,
Partisanenbekämpfung,"Hüsch, et al",Conträr,CD 4304-2,96,Quartett 67,
Passeport Pour Le Soleil,"Brühl, Heidi",Philips ,,66, ,
Passeport Pour Le Soleil,Romuald,AZ,,66,,
Passeport Pour Le Soleil,"Tapy, Bernard",RCA,86 158,66,,
"Patriot, The","Roberson, Marie",Blake,2 233,67,,
"Patriot's Dream, The","Lightfoot, Gordon ",Reprise,LP 2056,72,Don Quixote ,
"Patriotic Flag Waver, The",Dr. John,Atco,6697,69,,
"Patrol, The","Kernoczy, Bill & Nolan, Terry",SLV,CD,99,Strange Land Vietnam ,
"Patrol, The",Paul & Russ,Edmark,10019,,,
Paul's Dream,Manfred Mann,,,66,Perrone,
Paw Paw Country,"Phillips, Allen",Evergreen,900,6?,,
Pawnee Vietnam Song,Sizzortail,Arbor,CD,7,Enuff Said ,
Pawns Of War,"Myers, Sid",Hare,1520,,,
Pax,"Stridel, Gene",Mercede,3002,71,,
Peace,"Carn, Jean",Black Jazz,1005,71,,
Peace,"Layne, Judy",Preview,1104,66,,
Peace,"Lollipop Tree, The",B.T. Puppy,546,68,,
Peace,Malo,WB,7605,72,,
Peace,"O'Jays, The",Astroscope,110,72,,
Peace,"Pollock, Samuel",S. Pollock,Cassette,93,Remembering Honor Vietnam,
Peace,"Revere, Paul & Raiders",Columbia,LP,67,A Christmas Present...& Past,
Peace,"Rollins, Mike",Mike Rollins,52170,,,
Peace,"Wedgewoods, The",Pye,15826,65,,
Peace And Love (Part 1),"Butler, Ron & The Ramblers",Playboy,6034,,,
Peace & Love,"Smith, Lonnie Liston",Flying Dutchman,10702,76,,
Peace At Last,"Jamal, Ahmad",20th Century,2026,73,,
Peace At Least,Rotary Connection,Cadet/Concept,7009,69,,
Peace Begins Within,"Powell, Bobby",Whit,6908,69,,
"Peace, Brother Peace",Dr. John,Atco,LP 7018,73,In The Right Place,
"Peace, Brother Peace","London, Jeremy",Barclay,61 168,68, ,
"Peace, Brother Peace","Medley, Bill",MGM,14000,68,Ride to the Wall Vol. II,
Peace For Christmas,Gigi,Colpix,668,62,,
Peace For Us All,"Gerrard, Donny",Greedy,109,76,,
Peace In Our Life,"Stallone, Frank",Silva America,,85,Rambo: First Blood Part II ,
Peace In Our Time,"Fenner, Leland & O'Brien",RPC,LP 41771,69, ,
Peace In The End,Fotheringay,Hannibal  ,CD 4426,71,Fotherigay ,
Peace In The Far East,Jubilees,,,, ,
Peace In Viet Nam,"Harding, Oneda & Confederates",TRC,2094,6?, ,
Peace Is Gonna Come,Stairsteps,Buddah,213,71, ,
Peace Is The Way,"Parrott, Thom",,,69,Broadside #104,
Peace Isn't Treason,"Reynolds, Malvina",LoC Cassette,SR 46,65,Sing-in For Peace,
Peace - Love,U.S. Apple Corps,SSS Int.,840,71,,
"Peace, Love Not War",FatbackBand,BGP,13,71, ,
Peace Now,"Jurgens, Udo",Ariola,LP ,71,Udo 71,
Peace Now,"Young, Jacob",Laurie,3561,70, ,
Peace On Earth,"Morillo, Wally",,,,,
Peace Parade,"Masten, Ric",WRS,LP 1502,67,12 String Sermons,
"Peace, Pollution, Revolution","Norman, Larry",MGM,14352,72,,
Peace Song,"Berman, Benny",Ron,777,,,
Peace Song,"Berman, Benny",Laurie,3578,71,,
Peace Song,Harmony & Grits,Ron,757,,,
"Peace Song, The","Young, Jesse Colin",WB,7404,70,,
Peace Train,"Montenegro, Hugo",RCA,607,72,,
Peace Train,"Stevens, Cat",A&M,1291,71,Greatest Hits ,
Peace Wake Up To The Sunshine,"Ben, Toby",Venture,613,,,
Peace We Live Without,Frantics,Vibra-Sonic,2021,6?,,
Peace Will Come,"Gurtskaya, Diana",,,,,
Peace Will Come,"Paxton, Tom",Reprise,1110,72,,
Peace Will Come (According To Plan),Melanie,Buddah,186,70,,
Peacemaker,"Hammond, Albert",Mums,LP 31905,72,It Never Rains In Southern California ,
Peacemaker,Loggins & Messina,Columbia,LP 33578,76,Native Sons ,
Peddlers Of Hate,"Hinson, Don",Treva,222,6?,,
Pencil Marks On The Wall,"Bernardi, Herschel",Columbia,45285,71, ,
Pencil Marks On The Wall,"Cargill, Henson",Mega,30,71, Next Stop is Vietnam,
Pentagon Please Be Gone,Minette,Collector's Choice,CCLP 1,68,Come To Me At Tea Time ,
"People, Let's Stop The War",Grand Funk Railroad,RCA,3217,71, ,
"People Thank You, The",Covered Wagon Musicians,Paredon,LP 1015,72,We Say No To Your War! ,
People To People,"Lavalle, Paul",RCA,LP 3600,66,Salute To Our Fighting Men In Vietnam,
"People Will Come Together, The","Sommer, Bert",Buddah,243,71,,
Peoples,Stone Coal White,Cali-Tex,CT-010,11,Stone Coal White ,
Persecution Mania,Sodom,Roadrunner,CD,92,Persecution Mania ,
Peter Pilot,High Priced Help,Jewel,2,67,,
Petersen Caught/Sergeant Petersen,"Rozsa, Miklos",WB,LP,68,The Green Berets S/T,
Pestle Thuds Resound In The Bam Bo Village,Vietnamese People,Paredon,LP 1008,71,Vietnam: Songs of Liberation,
Phantom Jets Are Coming,Covered Wagon Musicians,Paredon,LP 1015,72,We Say No To Your War!,
Phase 1 - Phase 2…You Made A Fool Out Of Me,"Maines, Nevada",Smile,126,?,,
Physical Attraction Stuff,"Jorgensen, Sgt. John Peter",Sgt. J.P. Jorgensen,CD,5,Vietnam: A Sublime Homecoming,
"Pickaxe And A Stone, A","Collier, Jimmie",Broadside,LP 312,70,"Broadside Ballads, Vol. 5 ",
Picnic Blues (Vietnam Weren't No Picnic),Cumberlands,KY Vietnam Mem. Fund,LP,88,Reflections: A Memorial Tribute to Vietnam Veterans,
Picture Of A Man,"Gober, Capt. Hershel",Tee Pee,4533,66,,
Picture Of A Man,"Gober, Major Hershel",Buddah,152,70, ,
Picture Of My Pa Before He Died In Vietnam,"Koons, Greg & Misbegotten",Kealon,10003,9,Welcome To The Nowhere Motel ,
Pig Nixon,Red Star Singers,Paredon,LP 1023,74,Force Of Life ,
Pine Cones And Oak Leaves,"Jonas, Dick",Erosonic ,Album 2,97,FSH Vol. II,
Pink Elephant Polka,"Myer, Jonathan",Border City,SE-8,4,More FAC and Flying Songs,
Pinkville Helicopter,"Parrott, Thom",Folkways,312,70,Broadside Vol. 5 - Time Is Running Out/Next Stop is Vietnam,
"""Pinkville"" Strafing Run",Blue Thunder S/T,Super Tracks…,CD,83,Blue Thunder S/T,
Pissin' 'N' Moanin',"Purtell, Jim [v. Dave Collaton]",Stoney Beach Music,CD,12,Vietnam: There & Back,
"Place Called Viet Nam, A","Damon, Jaci",King ,6121,67,,
"Place Called Viet Nam, A","La Pole, Larry & The Polecats",West Wind,6123,66, ,
Place For Them Called Hell,"Harless, Smokey",Starlite,12947,, ,
Place Me In Your Dreams Soldier Boy,"Callegari, Marisa",Demanick,1923,67,,
Plan Your Revolution,"Mayall, John",Polydor,LP 4010,70,Empty Rooms ,
Plate In My Head,Didjits,Touch and Go,LP,88,,
Play It All Night Long,"Zevon, Warren",Asylum,LP 509,80,Bad Luck Streak In Dancing School ,
"Play Little Music Box, Play","Loren, Donna",Capitol,5659,66,,
"Play Your Guitars, American Friends","Riate, Alfonso Ray",Paredon ,LP 2001,75,"What Now, People? Vol. 1 ",
Played Around...Vietnam Too Long,Various Artists,Flying Fish,70552,91,In Country,
Playing War,"Reynolds, Malvina",Not Released,,64,Broadside #50,
"Plea For Calley, A","Bixler, Beverly",Boss,231,7?, ,
Plea For Reason,"Perry, Al",Tower,186,65,,
Please,Original Cast,Geffen,9  24271-2,89,Miss Saigon,
Please Come Home For Christmas,"Uniques, The",Paula,255,66, ,
Please Give Peace A Chance,"Cocker, Joe",A&M,LP 6002,70,Mad Dogs & Englishmen ,
Please God Send Him Home,Joanne,Gulfstream,1085,,,
Please Mr. Captain,"Vaughn, Will & Incidentals",RPI,119,,,
Please Mr. Carter,Spider,Spider's Legacy,41952,,,
Please Mr. Johnson,"Blake, Chuck",Sing-O-Tek,4177,6?,,
Please Mr. Johnson,"Jones, Dewey",Diamond,219,67,,
Please Mr. Johnson (I Don't Wanna Go),Put On Company,Jest,101,68,,
Please Mr. Kennedy,"Wood, Mickey",Tamla,54052,62,,
Please Mr. Kennedy (Don't Send Me Off To Vietnam),Goldcoast Singers,World Pacific,LP 1806,62,Here They Are! The Goldcoast Singers ,
Please Mr. President,Boss Five,Impact,1002,66, ,
Please Mr. President,Jessie & Eddie with The Blue Chips,Colleen,3301,6?,,
Please Mr. President,King Solomon,Kent,446,66,Does Anybody Know I'm Here?,
Please Mr. President (Give Them A Date),West,August,#33,7?,,
"Please Santa, Take My Toys to Vietnam","Stack, Bud",Nashville,5317,6?,,
Please Settle In Vietnam,"Hopkins, Lightnin'",Joliet,205,69,,
Please Uncle Sam (Send Back My Man),Charmels,Volt,142,67,,
Please Wait For Me  ,Masters Of Houston,Ovide,232,6?,,
Please Wait For Me (My Darling),"Masters Of Soul, The",Capitol,2255,68,Does Anybody Know I'm Here?,
"Pledge Of Allegiance, The","Greenwood, Lee",MCA?,,,,
"Pledge Of Allegiance, The","Skelton, Red",Columbia,44798,69,,
"Pledge Of Allegiance, The","Sovine, Red",Starday,867,69,,
"Pledge Of Allegiance, The","Wayne, John",RCA,LP 4828,73,"America, Why I LoveHer ",
Pledge OfAllegiance (March),"Post, Bill & Doree",Crest,1074,,,
Pledge Of Allegiance To The Flag,"Dirksen, Everett",Capitol,LP 2643,66,,
